,id,name,domain_id,closed,city_name,zipcode,geohash,new_open,weighted_average_rating,number_of_chains,number_of_bookmarks,number_of_reviews,number_of_product_tags,total_number_of_views,number_of_checkins,number_of_menu_groups,number_of_menu_photos,category_name,price_range,avg_price,parking,credit_card_accepted,good_for_groups,good_for_kids,bookable,best_of_wongnai,wifi,number_of_seats,music_venue,hotel_restaurant,pet_friendly,delivery
60048,99466,จุ๋ม,1,0,Nakhon Si Thammarat,,w1xh29j,0,4.376623377,,18.0,6,3,3535,3,0,0,Seafood,2.0,,3.0,0.0,1.0,1.0,1.0,,1.0,4.0,,,,
60166,99616,ลิกอบ้านทำขนม,1,0,Nakhon Si Thammarat,80000,w1x048n,0,3.745614035,,8.0,7,0,3760,3,0,2,Thai,1.0,,3.0,,,,,,,,,,,
60178,99629,ชากระสอบ ซูกาน่า,1,0,Nakhon Si Thammarat,80000,w1rpep4,0,4.0,,,1,0,354,0,0,1,Juice/Coffee/Tea/Soft drinks,1.0,,,0.0,,,,,,2.0,,,,
60202,99657,ปุ๊บปั๊บแอนด์ปอฝ้าย,1,0,Nakhon Si Thammarat,80120,w1x436c,0,0.0,,,0,0,148,0,0,0,Thai,,,,,1.0,1.0,,,,,,,,
60501,100070,สวนเมี่ยงปลาเผา,1,0,Nakhon Si Thammarat,,w1rpfuv,1,0.0,,,0,0,1323,1,0,2,Barbeque/Grill,2.0,,1.0,,,,,,,,,,,
60610,100207,ไทยเด่น,1,0,Nakhon Si Thammarat,80110,w1qykr0,0,3.333333333,,5.0,3,0,2274,0,0,0,Bakery/Cake,1.0,,,,,,,,,,,,,
60625,100227,ร้านอาหารระเบียงน้ำ,1,0,Nakhon Si Thammarat,80000,w1rpg94,0,3.833333333,,,1,0,969,1,0,0,Thai,2.0,,,,,,,,,,,,,
60659,100268,อีสานบ้านสวน,1,0,Nakhon Si Thammarat,80000,w1rpg5d,0,4.300847458,,52.0,20,1,8183,6,0,1,North East,2.0,,3.0,1.0,,,,,,,,,,
60681,100294,ห้องอาหารดวงใจนาบอน,1,0,Nakhon Si Thammarat,80110,w1qz42u,0,0.0,,,0,0,343,0,0,0,Thai,,,,,,,,,,,,,,
60710,100331,โอ๊คนัด คอฟฟี่ & รีสอร์ท,1,0,Nakhon Si Thammarat,,w1x19v6,0,4.6375,,7.0,4,4,2374,4,0,5,Café/Coffee Shop,1.0,,3.0,,,,,,1.0,,,,,
60886,100563,ผัดไทยบังผาด,1,0,Nakhon Si Thammarat,,w1x13cj,0,3.0,,,1,1,193,0,0,0,Street Food/Food Stands,1.0,,1.0,,,,,,,,,,,
60906,100589,ร้านอาหารครัวป่า,1,0,Nakhon Si Thammarat,80000,w1rpfy0,0,0.0,,,0,0,135,0,0,0,Thai,,,,,,,,,,,,,,
60921,100607,ตั้งเฮงหลี (ข้าวมันไก่เจ๊เหนียว),1,0,Nakhon Si Thammarat,,w1rpfxm,0,4.0,,,1,0,200,1,0,1,Quick Meal,1.0,,1.0,0.0,,,,,,,,,,
61059,100782,929 cafe,1,0,Nakhon Si Thammarat,80000,w1rpg42,0,3.984126984,,30.0,11,0,3514,8,0,6,Café/Coffee Shop,2.0,,3.0,0.0,1.0,1.0,,,1.0,2.0,,,,
61379,101159,สวนก๋วยเตี๋ยวอ้อมค่าย ,1,0,Nakhon Si Thammarat,,w1x04g1,0,3.58677686,,4.0,5,3,1423,7,0,1,Noodles,1.0,,3.0,0.0,,,,,1.0,3.0,,,,
61651,101464,จันทร์  นวดเพื่อสุขภาพ,2,0,Nakhon Si Thammarat,,w1rpep8,0,0.0,,2.0,0,0,1488,0,0,3,Spa & Massage,,,3.0,0.0,,,0.0,,,11.0,,,,
61760,101585,บะหมี่เกี๊ยว5ดาว,1,0,Nakhon Si Thammarat,80140,w1rr2ne,0,0.0,,,0,0,342,0,0,0,Noodles,1.0,,0.0,,,,,,,,,,,
61846,101688,Indy Ice,1,0,Nakhon Si Thammarat,80000,w1rpfvj,0,4.0,,1.0,1,0,533,1,0,0,Quick Meal,2.0,,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,,,,
61887,101739,หรอยจังหู ข้าวแกงเมืองทอง,1,0,Nakhon Si Thammarat,,w1rpgn7,0,3.0,,1.0,1,0,138,1,0,0,Southern Food,1.0,,1.0,,,,,,,,,,,
62256,102207,ครัวป้าแดง,1,0,Nakhon Si Thammarat,80110,w1rj972,0,0.0,,,0,0,386,0,0,0,Thai,,,,,,,,,,,,,,
62483,102490,ก๋วยเตี๋ยวเนื้อวัว ลูกชิ้นแชมป์,1,0,Nakhon Si Thammarat,80000,w1rpdsq,0,0.0,,3.0,0,0,524,0,0,0,Noodles,,,,,,,,,,,,,,
62750,102823,เลิฟยูคอฟฟี่,1,0,Nakhon Si Thammarat,,w1x13bg,0,3.0,,2.0,1,0,424,1,0,0,Café/Coffee Shop,1.0,,3.0,,,,,,,2.0,,,,
62800,102884,โชควารีเรือนแพ,1,0,Nakhon Si Thammarat,80110,w1qykn5,0,0.0,,1.0,0,0,814,0,0,0,Waterside,,,3.0,,1.0,1.0,,,,,,,,
62813,102902,ร้านชิดลม ข้างสะพานตัวที ปากพนัง,1,0,Nakhon Si Thammarat,80140,w1rr953,0,4.0,,,0,0,593,0,0,10,Seafood,2.0,,3.0,0.0,1.0,1.0,1.0,,1.0,4.0,,,,
62935,103037,หมูปิ้ง ซอยชาววัง,1,0,Nakhon Si Thammarat,,w1rpfu8,0,4.0,,1.0,1,0,274,1,0,0,Street Food/Food Stands,1.0,,,,,,,,,,,,,
63111,103231,Doi Chaang Coffee,1,0,Nakhon Si Thammarat,80280,w1x0d4w,0,4.0,,2.0,2,1,1145,2,0,0,Café/Coffee Shop,1.0,,3.0,,,,,,,,,,,
63179,103321,เตี๋ยวไก่มะระ By Samurai Girl,1,0,Nakhon Si Thammarat,,w1qykjv,0,4.0,,2.0,1,1,450,0,0,0,Noodles,1.0,,1.0,0.0,,,,,0.0,2.0,,,,
63189,103335,Kansuda steak home,1,0,Nakhon Si Thammarat,,w1qykq2,0,0.0,,,0,0,530,0,0,1,Steak House/Barbeque,1.0,,,,,,,,,,,,,
63389,103581,หวานใจเบเกอรี่,1,0,Nakhon Si Thammarat,,w1x13ch,0,3.0,,1.0,1,0,147,1,0,0,Café/Coffee Shop,1.0,,1.0,,,,,,1.0,2.0,,,,
63470,103669,ข้าวมัน เพลิน แพร ซีฟู๊ด,1,0,Nakhon Si Thammarat,,w1x04bw,1,3.0,,,1,1,512,2,0,1,Quick Meal,1.0,,1.0,,,,,,,,,,,
63670,103916,ครัวพริกไทย&สระว่ายน้ำอมินตา,1,0,Nakhon Si Thammarat,,w1wb6xk,0,0.0,,2.0,0,0,1079,0,0,0,Steak House/Barbeque,1.0,,3.0,,,,,,1.0,2.0,,,,
63976,104326,ชาวสวนคอฟฟี่&เรสเตอร์รอง,1,0,Nakhon Si Thammarat,80110,w1qy7k0,0,3.4,,15.0,7,5,7104,1,0,16,Café/Coffee Shop,1.0,,3.0,,,,,,1.0,2.0,,,,
64092,104481,ร้านโปรดปราน,1,0,Nakhon Si Thammarat,80110,w1qyknv,0,3.0,,,1,0,311,1,0,0,Thai,1.0,,1.0,,,,,,,2.0,,,,
64480,104972,ที-เด็ด,1,0,Nakhon Si Thammarat,,w1x11xx,0,0.0,,,0,0,227,0,0,0,Café/Coffee Shop,1.0,,3.0,,,,,,1.0,2.0,,,,
64494,104991,เอ๊กแมนการ์เด้นท์รีสอร์ท,3,0,Nakhon Si Thammarat,80340,w1x49r7,0,4.0,,,1,0,94,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
64590,105138,ยกสยาม,1,0,Nakhon Si Thammarat,80110,w1qyemr,0,2.0,,,1,0,846,0,0,0,North East,2.0,,3.0,0.0,1.0,1.0,1.0,,,,,,,
64611,105168,โกโด่ง ข้าวมันแกง สี่แยกประตูไชยสิทธิ์,1,0,Nakhon Si Thammarat,,w1rpffd,0,3.560606061,,5.0,4,1,1482,6,0,1,Muslim,1.0,,,,,,,,,,,,,
64636,105199,ข้าวแกงป้าขวิด,1,0,Nakhon Si Thammarat,80000,w1rpdtn,0,4.0,,,1,0,540,0,0,0,Thai,,,,,,,,,,,,,,
64650,105220,ครัวอาร่อย,1,0,Nakhon Si Thammarat,80130,w1rn377,0,0.0,,,0,0,306,0,0,0,Thai,,,,,,,,,,,,,,
64791,105415,สเต๊กคุณนาย,1,0,Nakhon Si Thammarat,,w1rpdvg,0,4.0,,,1,0,148,0,0,0,Steak House/Barbeque,1.0,,,,,,,,,,,,,
64910,105564,ครัวหอมๆ,1,0,Nakhon Si Thammarat,80000,w1rpgjp,0,0.0,,,0,0,285,1,0,0,North East,,,,,,,,,,,,,,
64973,105648,ข้าวปั้น,1,0,Nakhon Si Thammarat,80000,w1rpgy9,0,4.0,,4.0,1,0,1931,0,0,0,North East,2.0,,1.0,0.0,,,,,,,,,,
65011,105704,ร้านกะทิสด @ โกต้อย,1,0,Nakhon Si Thammarat,80110,w1qykpn,0,5.0,,1.0,2,1,1098,5,0,1,Street Food/Food Stands,1.0,,1.0,0.0,1.0,0.0,0.0,,,,,,,
65026,105727,พี่หลวงรีสอร์ท,1,0,Nakhon Si Thammarat,80150,w1wb8xf,0,4.0,,1.0,1,0,1408,0,0,0,Fastfood,2.0,,,,,,,,,,,1.0,,
65083,105809,ร้านอาหารทีเด็ด,1,0,Nakhon Si Thammarat,80000,w1x048y,0,0.0,,,0,0,221,0,0,0,Thai,,,,,,,,,,,,,,
65220,105980,ก๋วยเตี๋ยวหมูริมคลอง,1,0,Nakhon Si Thammarat,80000,w1rpfsw,0,3.0,,1.0,2,0,227,2,0,0,Noodles,1.0,,1.0,,,,,,,,,,,
65236,106001,ครัวริมทุ่ง,1,0,Nakhon Si Thammarat,,w1x050j,0,3.0,,,2,0,489,0,0,0,Southern Food,1.0,,1.0,,,,,,,,,,,
65290,106061,รุ่งนครรีสอร์ท,1,0,Nakhon Si Thammarat,80000,w1rp7r9,0,0.0,,,0,0,136,0,0,0,Other,,,,,,,,,,,,1.0,,
65400,106188,ริมเลซีฟู้ด ท่าศาลา,1,0,Nakhon Si Thammarat,,w1x162m,0,4.111553785,,118.0,37,2,31490,8,0,6,Seafood,3.0,,3.0,1.0,1.0,1.0,1.0,,0.0,3.0,,,,
65438,106231,Cafe Amazon,1,0,Nakhon Si Thammarat,,w1rm6vw,0,3.25,,1.0,4,0,662,3,0,1,Bakery/Cake,1.0,,3.0,1.0,,,,,1.0,,,,,
65560,106361,อีสานนะจ๊ะ,1,0,Nakhon Si Thammarat,,w1x11xn,0,2.442307692,,2.0,3,2,479,1,0,0,North East,2.0,,1.0,0.0,,,,,,,,,,
65747,106601,ขนมจีนเจ๊ปาน,1,0,Nakhon Si Thammarat,,w1x13c2,1,4.0,,,1,0,172,1,0,0,Quick Meal,1.0,,3.0,,,,,,0.0,2.0,,,,
65997,106931,ช. ลัดดาก๋วยเตี๋ยวเรือต่อชาม,1,0,Nakhon Si Thammarat,80120,w1xh2mf,0,0.0,,3.0,0,1,865,1,0,1,Noodles,1.0,,,,,,,,,,,,,
66083,107045,พี่หลิ่ง อาหารอีสานแบบคีรีวง,1,0,Nakhon Si Thammarat,,w1qzyx4,0,3.897435897,,15.0,4,0,3165,3,0,0,North East,1.0,,,,,,,,,,,,,
66319,107329,Cafe Terrace,1,0,Nakhon Si Thammarat,,w1x11m2,0,3.849315068,,3.0,4,0,1294,3,0,2,Café/Coffee Shop,1.0,,,,,,,,,,,,,
66525,107602,โกจุก ปาท่องโก๋@โรตี,1,0,Nakhon Si Thammarat,,w1x138x,0,3.0,,2.0,1,0,331,0,0,0,Breakfast/Brunch,1.0,,1.0,,,,,,0.0,3.0,,,,
66530,107608,ไทย-อีสาน,1,0,Nakhon Si Thammarat,80110,w1rn2nt,0,0.0,,,0,0,308,0,0,0,North East,,,,,,,,,,,,,,
66585,107680,ภูพัฒน์รีสอร์ท,1,0,Nakhon Si Thammarat,80120,w1xh0dm,0,0.0,,,0,0,565,0,0,0,Other,,,,,,,,,,,,1.0,,
66678,107794,ร้านป้าหมุก,1,0,Nakhon Si Thammarat,,w1x1397,0,3.0,,1.0,1,2,236,0,0,0,North East,1.0,,,,,,,,,,,,,
66679,107795,โกชัย ป่ากล้วย อาหารตามสั่ง,1,0,Nakhon Si Thammarat,80000,w1x06es,0,0.0,,2.0,0,1,554,0,0,0,Seafood,1.0,,,,1.0,1.0,,,,,,,,
66733,107860,บ้านขนมครูเอก,1,0,Nakhon Si Thammarat,,w1rhcut,0,4.0,,,1,0,525,2,0,0,Other,1.0,,,,,,,,,,,,,
66792,107927,โกดำขนมจีน บ้านในสวน,1,0,Nakhon Si Thammarat,,w1x51hm,0,3.6818181819999998,,2.0,2,0,484,2,0,1,Quick Meal,1.0,,3.0,,,,,,0.0,2.0,,,,
66804,107940,ร้านอาหารครัวผู้กอง,1,0,Nakhon Si Thammarat,80240,w1qxjnb,0,0.0,,,0,0,176,0,0,0,Thai,,,,,,,,,,,,,,
66821,107957,โรงแรมสิริธานี,3,0,Nakhon Si Thammarat,80000,w1rpg18,0,3.0,,2.0,1,0,486,1,0,0,Hotel/Resort,,,,,,,,,,,,1.0,,
66982,108159,เจ้พร,1,0,Nakhon Si Thammarat,,w1x13b9,0,3.0,,,1,0,146,1,0,0,Quick Meal,1.0,,1.0,,,,,,0.0,2.0,,,,
67060,108251,ครัวลูกทุ่ง,1,0,Nakhon Si Thammarat,80110,w1rj971,0,0.0,,,0,0,384,0,0,0,Thai,,,,,,,,,,,,,,
67077,108271,ก๋วยจั๊บ ยะลา,1,0,Nakhon Si Thammarat,80110,w1qyknx,0,3.047619048,,1.0,1,0,618,2,0,0,Noodles,1.0,,,,,,,,,,,,,
67304,108562,วนิลา,1,0,Nakhon Si Thammarat,80000,w1rpfzf,0,0.0,,,0,0,276,0,0,0,Other,,,,,,,,,,,,,,
67326,108594,ขนมจีนบ้านสวน@เขาปูน,1,0,Nakhon Si Thammarat,,w1wbrwp,1,4.0,,1.0,2,0,475,1,0,1,Southern Food,1.0,,1.0,0.0,1.0,1.0,,,,2.0,,,,
67476,108780,ร้านพี่เขียว ข้าวหมกไก่ ตลาดท่าม้า,1,0,Nakhon Si Thammarat,,w1rpftp,0,4.0,,1.0,3,2,417,2,0,0,Quick Meal,1.0,,1.0,0.0,,,,,,,,,,
67596,108924,Monkey Tea & Berger House,1,0,Nakhon Si Thammarat,,w1x11wv,0,3.30952381,,3.0,3,0,1007,2,0,0,Dessert,1.0,,1.0,,,,,,,2.0,,,,
67601,108929,ตลาดหัวอิฐ,1,0,Nakhon Si Thammarat,,w1rjzuv,0,5.0,,,1,0,337,0,0,0,Other,1.0,,,,,,,,,,,,,
67716,109078,@ คึรึวง ม่านฟ้า กาแฟสด,1,0,Nakhon Si Thammarat,,w1wbn25,1,3.064516129,,,1,0,857,1,0,1,Cafe,1.0,,1.0,,,,,,,,,,,
67724,109091,ขนมจีนหม้อดิน,1,0,Nakhon Si Thammarat,80000,w1x04bh,0,0.0,,,0,0,615,1,0,1,Street Food/Food Stands,1.0,,1.0,,,,,,,,,,,
67813,109200,พฤกษาโอชา,1,0,Nakhon Si Thammarat,80170,w1rmf09,0,0.0,,,0,0,313,0,0,0,Thai,,,,,,,,,,,,,,
67925,109330,ไอ-เย็น คาเฟ่,1,0,Nakhon Si Thammarat,80000,w1rpfgc,0,4.115384615,,8.0,2,0,931,2,0,9,Café/Coffee Shop,1.0,,1.0,0.0,1.0,1.0,,,1.0,,,,,
68010,109424,ก๋วยเตี๋ยวนครปฐม - เจ๊พร(ทุ่งสง),1,0,Nakhon Si Thammarat,,w1qyknq,0,3.045454545,,2.0,1,0,808,1,0,2,Noodles,1.0,,1.0,,1.0,1.0,,,,,,,,
68067,109495,Hot Pot Buffet ,1,0,Nakhon Si Thammarat,,w1x048z,0,3.0,103.0,2.0,0,8,1516,0,0,0,Sukiyaki/Shabu,3.0,,3.0,1.0,1.0,1.0,,,,,,,,
68086,109515,ก๋วยเตี๋ยวเรือแม่สมบูรณ์,1,0,Nakhon Si Thammarat,80140,w1rnqzb,0,0.0,,,0,0,276,0,0,0,Noodles,,,,,,,,,,,,,,
68253,109704,ร้านส้มตำหลังคามุงจาก,1,0,Nakhon Si Thammarat,,w1x00e9,0,5.0,,,1,0,618,0,0,1,North East,1.0,,,,,,,,,,,,,
68532,110009,ดังอาภัตตาคาร,1,0,Nakhon Si Thammarat,80000,w1x04ek,0,0.0,,,0,0,386,0,0,0,Chinese,,,,,,,,,,,,,,
68814,110327,ร้านข้าวแกงอิสลาม,1,0,Nakhon Si Thammarat,80000,w1rncpt,0,0.0,,,0,0,166,0,0,0,Thai,,,,,,,,,,,,,,
68944,110488,ต้นธารรีสอร์ทแอนด์สปา,3,0,Nakhon Si Thammarat,80210,w1wuwnw,0,0.0,,,0,0,14,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,0.0,
68980,110531,ข้าวต้มโกทรลานโพธิ์,1,0,Nakhon Si Thammarat,,w1x048s,0,4.185185185,,4.0,4,1,1908,1,0,0,Late Night Rice Porridge,2.0,,1.0,0.0,1.0,1.0,1.0,,1.0,3.0,,,,
69160,110748,ร้านอาหารวังกุ้ง,1,0,Nakhon Si Thammarat,80110,w1qyddu,0,0.0,,,0,0,810,0,0,0,Muslim,1.0,,3.0,,1.0,,,,,,,,,
69239,110854,กะสาว,1,0,Nakhon Si Thammarat,80160,w1x14kv,0,3.0,,4.0,1,1,483,0,0,0,Thai,1.0,,0.0,,,,,,,,,,,
69333,110969,ข้าวต้มหัวปลาฝาแฝดชุมพร,1,0,Nakhon Si Thammarat,80110,w1qykss,0,0.0,,5.0,0,2,1493,1,0,0,Quick Meal,2.0,,3.0,0.0,1.0,,1.0,,,3.0,,,,
69461,111131,สวนอาหารหลานตานอง,1,0,Nakhon Si Thammarat,80110,w1qty9v,0,0.0,,1.0,0,0,393,0,0,0,Thai,,,,,,,,,,,,,,
69520,111200,ก๋วยเตี๋ยวชามยักษ์,1,0,Nakhon Si Thammarat,80250,w1qz9sr,0,0.0,,,0,0,275,0,0,0,Noodles,,,3.0,,,,,,,3.0,,,,
69588,111285,สิชลคาบาน่าบีชรีสอร์ท,3,0,Nakhon Si Thammarat,80120,w1x538r,0,0.0,,2.0,0,0,147,0,0,0,Hotel/Resort,,,3.0,,,,,,1.0,,,,1.0,
69632,111336,ข้าวมันไก่ขุนโกตง,1,0,Nakhon Si Thammarat,80000,w1rpgnk,0,3.8641975310000003,,8.0,4,1,1005,3,0,0,Chinese,1.0,,1.0,0.0,,,,,,,,,,
69724,111439,2009 คอฟฟี่,1,0,Nakhon Si Thammarat,80000,w1x048u,0,5.0,,,1,3,288,0,0,0,Juice/Coffee/Tea/Soft drinks,1.0,,,,,,,,,,,,,
69888,111627,ครัวลำงา,1,0,Nakhon Si Thammarat,,w1qzzdx,0,5.0,,1.0,1,0,259,0,0,0,Thai,2.0,,3.0,0.0,1.0,1.0,1.0,,0.0,2.0,,,,
69910,111652,Cafe Amazon,1,0,Nakhon Si Thammarat,80110,w1qykss,0,2.0,,1.0,1,13,387,0,0,0,Café/Coffee Shop,1.0,,,,,,,,,,,,,
70137,111914,B&B ทาโกะยากิ ทุ่งสง,1,0,Nakhon Si Thammarat,80110,w1qykqg,0,5.0,,5.0,2,1,2875,2,0,3,Japanese,1.0,,1.0,0.0,,,,,,,,,,
70206,111995,ลูกเกด,1,0,Nakhon Si Thammarat,80180,w1rnju0,0,3.0,,1.0,1,0,387,16,0,0,Other,,,,,,,,,,,,,,
70290,112095,ร้านนายหัวข้าวแกงเมืองคอน,1,0,Nakhon Si Thammarat,80000,w1rpg1b,0,2.977272727,,6.0,5,0,1573,3,0,1,Thai,1.0,,,,,,,,,,,,,
70507,112369,@Rich Cafe,1,0,Nakhon Si Thammarat,80000,w1x04wp,0,3.538461538,,8.0,4,2,3904,4,0,4,Steak House/Barbeque,2.0,,1.0,0.0,,,,,1.0,,,,,
70583,112458,ก.ไก่,1,0,Nakhon Si Thammarat,,w1wbt60,0,0.0,,1.0,0,0,329,0,1,0,Café/Coffee Shop,,,,,,,,,,,,,,
70594,112470,ชิกเก้น ฮาลาล,1,0,Nakhon Si Thammarat,,w1x0fqn,0,2.0,,,1,0,414,1,0,1,Muslim,1.0,,1.0,,,,,,,,,,,
70658,112538,กาแฟเขาทะลุ,1,0,Nakhon Si Thammarat,80000,w1rpdve,0,3.4,,,2,0,302,2,0,1,Café/Coffee Shop,1.0,,3.0,0.0,,,,,0.0,1.0,,,,
70944,112896,คันทรีโฮม,1,0,Nakhon Si Thammarat,80000,w1x04cg,0,5.0,,,2,0,837,1,0,0,Fusion Food,2.0,,,,,,,,,,,,,
71174,113180,Inthanin Coffee,1,0,Nakhon Si Thammarat,80110,w1qyddg,0,0.0,213.0,,0,8,327,0,0,0,Café/Coffee Shop,,,,,,,,,,,,,,
71190,113198,บะหมี่อาตง,1,0,Nakhon Si Thammarat,,w1qyknt,1,4.0,,,1,1,552,1,0,1,Noodles,1.0,,,,,,,,,,,,,
71197,113205,ทักษิณา,1,0,Nakhon Si Thammarat,80170,w1rmdxu,0,0.0,,,0,0,192,0,0,0,Other,,,,,,,,,,,,,,
71630,113709,ร้านเดือนเพ็ญ,1,0,Nakhon Si Thammarat,80130,w1rn64g,0,0.0,,,0,0,273,0,0,0,Other,,,,,,,,,,,,,,
71697,113781,สี่แม่ครัว,1,0,Nakhon Si Thammarat,80170,w1rmc3t,0,4.0,,,1,1,389,0,0,0,Thai,,,,,,,,,,,,,,
72080,114255,วังเดิม,1,0,Nakhon Si Thammarat,80000,w1rpfsz,0,4.0,,4.0,3,1,824,3,0,0,Thai,1.0,,3.0,,,,,,,,,,,
72367,114603,ครัวผักหวาน,1,0,Nakhon Si Thammarat,80210,w1wuzfy,0,4.0,,,1,0,558,0,0,0,Seafood,2.0,,,,,,,,,,,,,
72572,114842,ชาบูอู๊ดเป็นต่อ,1,0,Nakhon Si Thammarat,,w1rpfvu,0,4.0,,3.0,1,0,1404,2,0,0,Sukiyaki/Shabu,2.0,,3.0,0.0,1.0,1.0,,,,,,,,
72636,114922,ไอซ์ ชูการ์ เดอร์สเต็ก (Ice Sugar De'Steak),1,0,Nakhon Si Thammarat,80110,w1qykrh,0,4.0,,28.0,3,2,4726,3,0,0,Thai,1.0,,1.0,,,,,,,,,,,
72675,114975,กาแฟ ลุงโรม,1,0,Nakhon Si Thammarat,,w1qzyx7,0,3.5961538460000004,,6.0,4,0,1679,2,0,4,Bakery/Cake,1.0,,1.0,0.0,,,,,1.0,2.0,,,,
72692,114994,มุม-อร่อย,1,0,Nakhon Si Thammarat,80120,w1xh0ek,0,0.0,,,0,0,227,0,0,0,Thai,,,,,,,,,,,,,,
72768,115088,ตลาดริมน้ำคลองแดน,1,0,Nakhon Si Thammarat,80170,w1rm4c5,0,5.0,,1.0,1,0,1581,1,0,0,Noodles,,,,,,,,,,,,,,
73151,115532,ร้านนั่งเล่น,1,0,Nakhon Si Thammarat,,w1rpfvg,1,4.0,,,1,0,384,1,0,2,Quick Meal,1.0,,,,,,,,2.0,,,,,
73171,115555,ข้าวต้มเจ๊ดา,1,0,Nakhon Si Thammarat,80000,w1rpfzj,0,3.0,,1.0,2,0,982,2,0,0,Chinese,2.0,,1.0,,,,,,,,,,,
73216,115605,ลุงจิต ป้าปุก,1,0,Nakhon Si Thammarat,80000,w1rpcz7,0,0.0,,1.0,0,0,160,0,0,0,Quick Meal,,,,,,,,,,,,,,
73298,115692,ครัวบุหงา,1,0,Nakhon Si Thammarat,80110,w1qykyr,0,0.0,,1.0,0,0,398,0,0,0,Thai,,,,,,,,,,,,,,
73411,115831,ข้าวแกงลูกสี,1,0,Nakhon Si Thammarat,80000,w1rpd70,0,0.0,,,0,0,256,0,0,0,Thai,,,,,,,,,,,,,,
73695,116236,ประสานสุขวิลล่ารีสอร์ท,1,0,Nakhon Si Thammarat,80120,w1x538r,0,3.866666667,,3.0,4,0,2788,3,0,0,Breakfast/Brunch,2.0,,,,,,,,,,,1.0,,
73716,116258,น้ำตกคลองปาว,4,0,Nakhon Si Thammarat,80160,w1wf1cu,0,0.0,,,0,0,32,0,0,0,Water Fall,,,,,,,,,,,,,,
74185,116875,รวมมิตรฟู๊ดส์แอนด์ดริ๊ง,1,0,Nakhon Si Thammarat,80140,w1rq6pw,0,0.0,,,0,0,174,0,0,0,Other,,,,,,,,,,,,,,
74192,116883,ร้านตำแหลก,1,0,Nakhon Si Thammarat,80000,w1x0691,0,0.0,,,0,0,241,0,0,0,North East,,,,,,,,,,,,,,
74204,116896,โกตี๋,1,0,Nakhon Si Thammarat,80000,w1rp17y,0,0.0,,,0,0,135,0,0,0,Chinese,,,,,,,,,,,,,,
74217,116910,ขนมจีนปราณี,1,0,Nakhon Si Thammarat,,w1wbx2x,1,3.0,,,1,1,427,1,0,0,Noodles,1.0,,1.0,,,,,,0.0,2.0,,,,
74248,116948,ครัวตังเก,1,0,Nakhon Si Thammarat,80210,w1wuryv,0,3.353909465,,72.0,23,1,28325,7,0,6,Seafood,3.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,
74250,116950,สองนคร,1,0,Nakhon Si Thammarat,,w1wbrxc,0,3.227272727,,,2,0,255,1,0,0,Noodles,1.0,,1.0,,,,,,,,,,,
74419,117147,ต้วมเตี๊ยมติ่มซำ,1,0,Nakhon Si Thammarat,,w1rpfu0,0,3.0,,2.0,2,0,327,1,0,0,Dim Sum,1.0,,1.0,,,,,,1.0,,,,,
74476,117219,ร้านอาหารหยง-หวา,1,0,Nakhon Si Thammarat,80000,w1x01y1,0,2.5,,,2,0,415,0,0,0,Thai,,,,,,,,,,,,,,
74510,117265,โรงแรมสายธารรีสอร์ทแอนด์การ์เด้น,1,0,Nakhon Si Thammarat,80240,w1qxjr7,0,0.0,,,0,0,497,0,0,0,Other,,,,,,,,,,,,1.0,,
74599,117372,ตลาดย้อนยุค @ ปากพนัง,1,0,Nakhon Si Thammarat,,w1rr814,0,4.0,,1.0,2,0,1352,2,0,0,Street Food/Food Stands,1.0,,1.0,0.0,,,,,,,,,,
74681,117464,เพิงพักกาย,1,0,Nakhon Si Thammarat,,w1wbn0g,0,3.019230769,,3.0,2,2,1134,1,0,1,North East,2.0,,3.0,,,,,,,,,,,
74799,117587,ครัวอิสระ,1,0,Nakhon Si Thammarat,,w1x51zb,0,4.5,,,1,0,711,0,0,0,North East,3.0,,3.0,0.0,1.0,1.0,,,0.0,4.0,,,,
74832,117622,เปิ๊ด-สะ-ก๊าด Bar&Bistro,1,0,Nakhon Si Thammarat,80310,w1qvew8,0,5.0,,4.0,2,1,1218,2,0,3,Cafe,1.0,,3.0,1.0,1.0,1.0,,,1.0,2.0,,,,
74904,117700,ปั่นละมุน,1,0,Nakhon Si Thammarat,,w1x0fqn,0,3.0,,,1,0,335,1,0,1,Café/Coffee Shop,1.0,,1.0,,,,,,,,,,,
74934,117733,Coffee World,1,0,Nakhon Si Thammarat,80000,w1rpfzg,0,0.0,68.0,,0,3,451,0,0,0,Café/Coffee Shop,,,,,,,,,,,,,,
74981,117789,มิตรภาพคาราโอเกะ,1,0,Nakhon Si Thammarat,80000,w1x048y,0,0.0,,,0,0,628,0,0,0,Karaoke,,,,,,,,,,,,,,
75061,117905,ราดหน้าพ่อใหญ่,1,0,Nakhon Si Thammarat,80160,w1x13cj,0,0.0,,,0,0,306,0,0,0,Noodles,,,0.0,,,,,,,,,,,
75077,117926,ร้านอาหารโกผูบางจาก,1,0,Nakhon Si Thammarat,80000,w1rpmmb,0,4.0,,,1,1,569,1,0,5,Quick Meal,2.0,,1.0,,,,,,,,,,,
